ILMN,2013-12-5,97.6
ILMN,2013-12-6,97.6
ILMN,2013-12-7,97.6
ILMN,2013-12-8,97.6
ILMN,2013-12-9,97.6
ILMN,2013-12-10,97.6
ILMN,2013-12-11,97.6
GOOG,2013-12-12,97.6
GOOG,2013-12-13,98.6
GOOG,2013-12-14,99.6
GOOG,2013-12-15,100.6
GOOG,2013-12-16,101.6
GOOG,2013-12-17,102.6
GOOG,2013-12-18,103.6
IBM,2013-12-19,103.6
IBM,2013-12-20,104.6
IBM,2013-12-21,105.6
IBM,2013-12-22,106.6
IBM,2013-12-23,107.6
IBM,2013-12-24,108.6
IBM,2013-12-25,109.6
IBM,2013-12-26,110.6
IBM,2013-12-27,111.6
IBM,2013-12-28,112.6
IBM,2013-12-29,113.6
IBM,2013-12-30,114.6
